TRAJ	SHORT_TRAJ	AMP_TMP2M_mean	AMP_RH_mean	AMP_WS_mean	AMP_PREC_sum	PM2.5	SEASON
5	1	19.7979591836735	67.1836734693878	0.577551020408163	0	16.69	SPRING
5	3	21.5020408163265	69.3265306122449	0.646938775510204	0.1	17.42	SPRING
5	3	19.2285714285714	76.7755102040816	0.542857142857143	1.2	17.42	SPRING
5	3	21.9897959183673	64.0204081632653	0.702222222222222	0.1	16.33	SPRING
5	3	19.0448979591837	58.4795918367347	1.18863636363636	0	9.89	SPRING
9	3	16.45	57.9795918367347	1.02083333333333	0	6.89	SPRING
9	3	16.3040816326531	59.6632653061224	0.833333333333333	0	14.88	SPRING
6	1	16.865306122449	58.7040816326531	0.816666666666667	0	11.79	SPRING
6	1	19.3938775510204	58.3673469387755	0.724489795918367	0	12.61	SPRING
5	1	22.3836734693878	62.530612244898	0.712244897959184	0	24.58	SPRING
5	3	22.5959183673469	63.5918367346939	0.718367346938775	0	25.77	SPRING
5	3	23.4469387755102	62.5102040816327	0.744897959183674	0	26.12	SPRING
5	3	23.1265306122449	70.0816326530612	0.695918367346939	0	24.04	SPRING
5	1	21.4612244897959	76.8979591836735	0.559183673469388	0.7	18.41	SPRING
5	1	22.4571428571429	66.9591836734694	0.63265306122449	0.1	20.5	SPRING
5	1	21.7061224489796	67.6734693877551	0.714285714285714	0	16.97	SPRING
5	1	22.7714285714286	64.1632653061225	0.771428571428571	0	17.05	SPRING
5	1	23.1326530612245	64.2244897959184	1.31836734693878	0	16.24	SPRING
5	1	21.134693877551	73.8775510204082	0.56734693877551	1.4	12.61	SPRING
5	1	18.7163265306122	88.530612244898	0.451020408163265	28.9	7.8	SUMMER
9	3	14.6938775510204	94.2244897959184	0.36530612244898	5.5	2.99	SUMMER
5	3	15.3285714285714	96.3673469387755	0.653061224489796	19.5	3.9	SUMMER
5	3	12.1183673469388	93.6530612244898	0.424489795918367	38.7	2.99	SUMMER
9	1	14.6755102040816	76.8571428571429	0.612244897959184	0	6.53	SUMMER
9	1	15.6061224489796	83.9795918367347	0.410204081632653	8.8	6.35	SUMMER
9	2	15.6102040816327	80.8163265306122	0.442857142857143	2.2	5.35	SUMMER
9	2	16.5142857142857	72.265306122449	0.483673469387755	0.6	8.07	SUMMER
1	3	16.5081632653061	80.7551020408163	0.538775510204082	4.2	10.07	SUMMER
8	3	15.630612244898	76.6938775510204	0.469387755102041	0	7.8	SUMMER
9	3	13.0204081632653	89.9591836734694	0.428571428571429	19	6.53	SUMMER
9	3	11.9959183673469	94.3469387755102	0.512244897959184	47.1	2.81	SUMMER
9	1	12.1510204081633	89.2857142857143	0.455102040816327	7	2.9	SUMMER
9	5	13.8877551020408	90.0612244897959	0.616326530612245	22.9	5.26	SUMMER
9	5	14.8102040816327	77.5918367346939	0.928571428571429	4.7	3.45	SUMMER
9	1	16.7632653061224	75.3469387755102	0.822448979591837	2	2.81	SUMMER
2	5	20.9489795918367	68.3469387755102	1.74285714285714	0.1	7.71	SUMMER
2	4	18.930612244898	76.1020408163265	1.49387755102041	0.1	8.16	SUMMER
3	5	20.0897959183673	75.1224489795918	0.675510204081633	0.1	5.44	SUMMER
3	5	19.5	77.6734693877551	1.1530612244898	0	6.44	SUMMER
3	3	13.8755102040816	77.5714285714286	0.459183673469388	0.1	2.54	SUMMER
3	1	17.4755102040816	73.2040816326531	0.530612244897959	0.2	3.54	SUMMER
2	3	14.3632653061224	80.2244897959184	0.514285714285714	0.2	3.72	SUMMER
7	1	17.7551020408163	77.3265306122449	0.863265306122449	11.5	4.63	SUMMER
2	3	14.05	93.2244897959184	0.495833333333333	11.6	2.36	SUMMER
4	3	12.6530612244898	81.0510204081633	0.51063829787234	1.9	3.72	SUMMER
8	3	12.0602040816327	89.8163265306122	0.366666666666667	4.5	1.63	SUMMER
2	1	15.5755102040816	77.9387755102041	0.828571428571429	19.3	1.9	SUMMER
2	1	13.3357142857143	80.8979591836735	0.7	24.4	1.54	SUMMER
2	3	8.88775510204082	86.7551020408163	0.479591836734694	14.2	2.36	SUMMER
9	2	12.2857142857143	74.4081632653061	0.373469387755102	8	4.72	SUMMER
9	1	13.5122448979592	75.8673469387755	0.416326530612245	7.6	9.8	SUMMER
9	1	15.865306122449	77.5102040816327	0.477551020408163	4.4	10.07	SUMMER
2	5	16.865306122449	76.4489795918367	0.659183673469388	6.9	14.88	SUMMER
2	5	18.7755102040816	74.6326530612245	0.683673469387755	1.8	20.5	SUMMER
2	3	20.030612244898	78.1224489795918	0.493877551020408	0	17.51	SUMMER
3	3	18.6775510204082	80.3061224489796	0.551020408163265	0	15.51	SUMMER
9	1	17.7510204081633	84.3673469387755	0.491836734693878	0	15.39	SUMMER
9	3	12.1989795918367	93.6938775510204	0.472916666666667	0	5.44	SUMMER
9	3	10.1020408163265	77.4897959183673	0.724489795918367	0	9.16	SUMMER
6	3	11.0571428571429	77.4897959183673	0.589795918367347	0	11.61	SUMMER
6	3	12.3040816326531	80.5102040816327	0.491836734693878	0	17.33	SUMMER
5	3	11.6244897959184	77.4081632653061	0.491836734693878	0	17.24	SUMMER
7	1	13.2102040816327	78.9591836734694	0.436734693877551	0	20.87	SUMMER
5	1	16.1204081632653	81.3673469387755	0.587755102040816	0	18.32	SUMMER
5	5	15.9551020408163	93.4081632653061	0.36530612244898	0	21.32	SUMMER
5	3	14.9061224489796	95.1632653061225	0.73469387755102	0	15.24	SUMMER
5	5	15.0897959183673	92.2448979591837	0.428571428571429	0	9.16	SUMMER
5	3	14.5326530612245	91.8979591836735	0.244897959183673	0	5.99	SUMMER
5	2	13.9938775510204	87.7959183673469	0.297959183673469	0	6.71	SUMMER
5	3	13.3877551020408	78.3673469387755	0.359183673469388	0	4.08	SUMMER
9	3	12.8836734693878	75.1836734693878	0.412244897959184	0	9.52	SUMMER
5	3	13.2775510204082	80.7142857142857	0.557142857142857	0	15.06	SUMMER
9	3	10.5122448979592	73.7755102040816	0.626530612244898	0	8.07	SUMMER
9	1	12.5561224489796	80.6530612244898	0.542857142857143	0	12.16	SUMMER
5	1	13.9142857142857	79.9591836734694	0.710204081632653	0	12.7	SUMMER
5	3	16.5044444444444	71.9777777777778	1.28181818181818	0	21.41	SUMMER
5	3	13.5864583333333	81.4270833333333	0.625	0	21.14	SUMMER
5	1	12.9428571428571	79.9183673469388	0.406122448979592	0	16.87	SUMMER
2	1	12.6102040816327	80.2857142857143	0.412244897959184	0	13.52	SUMMER
5	5	13.4530612244898	80.734693877551	0.820408163265306	0	20.59	SUMMER
5	5	16.9020408163265	80.3265306122449	1.40408163265306	0	18.14	AUTOMN
5	5	18.0204081632653	77.5102040816327	1.6530612244898	0	16.69	AUTOMN
5	4	18.8530612244898	73.2244897959184	3.53469387755102	0	16.88	AUTOMN
3	4	13.7510204081633	88.8979591836735	0.928571428571429	0	7.08	AUTOMN
2	3	10.9489795918367	90.9591836734694	0.146938775510204	0	8.35	AUTOMN
7	3	8.56734693877551	82.6122448979592	0.395918367346939	0	6.53	AUTOMN
