TRAJ	SHORT_TRAJ	AMP_TMP2M_mean	AMP_RH_mean	AMP_WS_mean	AMP_PREC_sum	O3_max	SEASON
d	d	c	c	c	c	d	d
						class
3	4	14.9061224489796	60.2244897959184	1.34081632653061	0	HIGH	SPRING
3	4	13.8897959183673	67.4285714285714	0.491836734693878	0.1	MODERATE	SPRING
3	5	11.7208333333333	82.125	0.81875	0.5	HIGH	SPRING
3	5	9.30816326530612	68.9795918367347	1.31428571428571	0	HIGH	SPRING
3	1	10.6	61.9591836734694	0.275510204081633	0	HIGH	SPRING
3	3	12.6333333333333	70.7916666666667	0.533333333333333	0	HIGH	SPRING
3	1	15.2425531914894	78.0212765957447	0.478723404255319	7	MODERATE	SPRING
5	4	13.6020408163265	85.1836734693878	0.604081632653061	15.2	MODERATE	SPRING
3	5	13.0591836734694	76.6938775510204	0.930612244897959	0	MODERATE	SPRING
3	1	12.465306122449	76.3061224489796	0.951020408163265	0	MODERATE	SPRING
3	1	12.9326530612245	83.5918367346939	0.248979591836735	1.3	MODERATE	SPRING
3	1	12.2591836734694	80.5102040816327	0.26734693877551	0.2	MODERATE	SPRING
3	2	14.5285714285714	73.8775510204082	0.685714285714286	0.3	HIGH	SPRING
5	1	13.7448979591837	69.0816326530612	0.420833333333333	0	MODERATE	SPRING
2	5	15.3142857142857	68.8775510204082	0.381632653061225	0	MODERATE	SPRING
8	5	19.5224489795918	47.5714285714286	1.88979591836735	0	HIGH	SPRING
3	5	16.669387755102	67.4081632653061	1.20816326530612	0	HIGH	SPRING
3	3	16.1959183673469	76.5918367346939	0.297959183673469	35	HIGH	SPRING
3	3	12.6183673469388	87.0408163265306	0.151020408163265	2	MODERATE	SPRING
3	1	13.9510204081633	80.2448979591837	0.312244897959184	7.8	MODERATE	SPRING
3	4	17.1265306122449	67.8163265306122	1.71020408163265	0	MODERATE	SPRING
5	4	15.7897959183673	73.2857142857143	1.02857142857143	0.1	MODERATE	SPRING
3	1	16.1448979591837	79.6326530612245	0.361224489795918	1.3	MODERATE	SPRING
8	3	16.3833333333333	78.875	0.318367346938775	5.3	MODERATE	SPRING
4	1	13.9857142857143	81.2040816326531	0.540816326530612	4.4	MODERATE	SPRING
3	5	15.2604166666667	70.0416666666667	1.06734693877551	0.5	MODERATE	SPRING
5	2	11.9795918367347	86.1224489795918	0.251020408163265	1.4	MODERATE	SPRING
4	2	13.2265306122449	78.3673469387755	0.257142857142857	0.6	MODERATE	SPRING
4	2	14.9204081632653	68.734693877551	0.348979591836735	0.3	MODERATE	SPRING
9	3	14	68.0612244897959	0.385714285714286	1.5	HIGH	SPRING
4	1	16.7833333333333	68.375	0.495918367346939	0	HIGH	SPRING
9	3	12.934693877551	67.7551020408163	0.528571428571429	0	MODERATE	SPRING
4	3	14.7979591836735	71.4489795918367	0.338775510204082	0	MODERATE	SPRING
4	5	16.8979591836735	78.2448979591837	0.348979591836735	0.6	MODERATE	SPRING
