TRAJ	SHORT_TRAJ	AMP_TMP2M_mean	AMP_RH_mean	AMP_WS_mean	AMP_PREC_sum	PM10	SEASON
d	d	c	c	c	c	d	d
						class
6	3	-7.44081632653061	75.8775510204082	0.704081632653061	0	LOW	WINTER
3	4	4.16122448979592	78.3469387755102	2.81224489795918	9.5	LOW	WINTER
9	2	-0.43469387755102	72.9183673469388	0.422448979591837	0	LOW	WINTER
7	5	1.01632653061224	85.469387755102	0.483673469387755	0	LOW	WINTER
3	5	2.74081632653061	76.6530612244898	0.408163265306122	0	LOW	WINTER
3	1	5.4530612244898	68.1836734693878	0.344897959183673	0	LOW	WINTER
3	5	6.4734693877551	68.3061224489796	0.642857142857143	0	LOW	WINTER
3	5	7.56938775510204	67.3265306122449	0.548979591836735	0	LOW	WINTER
3	3	7.21632653061225	72.3469387755102	1.06326530612245	0.1	LOW	WINTER
1	3	2.08163265306122	69	0.785714285714286	0	LOW	WINTER
1	3	1.93265306122449	71.1632653061225	0.430612244897959	0	LOW	WINTER
1	1	4.36326530612245	68.4489795918367	0.387755102040816	0	LOW	WINTER
1	5	8.60612244897959	73.3877551020408	0.640816326530612	0	LOW	WINTER
5	5	11.5428571428571	72.6530612244898	1.75510204081633	0	LOW	WINTER
3	4	9.40816326530612	90.0816326530612	0.542857142857143	3.3	LOW	WINTER
2	5	9.28979591836735	93.7755102040816	0.555102040816327	20.6	LOW	WINTER
2	1	9.50816326530612	96.8367346938775	0.275510204081633	16.3	LOW	WINTER
5	3	7.19795918367347	89.2040816326531	0.283673469387755	3.4	LOW	WINTER
5	1	6.93061224489796	92.265306122449	0.204081632653061	2.1	LOW	WINTER
5	3	8.38775510204082	92.3877551020408	0.451020408163265	32.4	LOW	WINTER
5	3	5.11836734693878	79.6734693877551	0.748979591836735	0.5	LOW	WINTER
1	3	3.90204081632653	68.3877551020408	1.04081632653061	0	LOW	SPRING
1	1	2.50612244897959	71.1632653061225	0.716326530612245	0	LOW	SPRING
1	1	4.82040816326531	65.9183673469388	0.326530612244898	0	LOW	SPRING
7	5	6.28163265306122	63.5510204081633	0.697959183673469	0	LOW	SPRING
5	5	5.96938775510204	60.3877551020408	1.14489795918367	0	LOW	SPRING
5	5	7.20612244897959	59.2244897959184	0.559183673469388	0	LOW	SPRING
5	5	10.5081632653061	57.2857142857143	2.17959183673469	0	LOW	SPRING
3	4	10.7	71.2857142857143	1.52040816326531	5.9	LOW	SPRING
3	2	7.78979591836735	95.4897959183673	0.512244897959184	53.3	LOW	SPRING
